gbif_name,gbif_key,fieldguide_id,cover_image_url,antenna_id,inat_id,category_map_index,common_name_en,,genus,family,training_images_count,example_occurrence_image_url
Phobetron hipparchia,1752109,,,,,51,,,Phobetron,Limacodidae,263,https://inaturalist-open-data.s3.amazonaws.com/photos/98328630/original.jpg
,1752464,,,,,#N/A,,,,,14,https://inaturalist-open-data.s3.amazonaws.com/photos/253982185/original.jpg
Tanadema neutra,1752742,,,,,53,,,Tanadema,Limacodidae,17,https://inaturalist-open-data.s3.amazonaws.com/photos/178153031/original.jpeg
,1752775,,,,,#N/A,,,,,130,https://inaturalist-open-data.s3.amazonaws.com/photos/181192343/original.jpeg
,1752778,,,,,#N/A,,,,,34,https://inaturalist-open-data.s3.amazonaws.com/photos/143830208/original.jpg
,1752825,,,,,#N/A,,,,,523,https://inaturalist-open-data.s3.amazonaws.com/photos/41317607/original.jpg
Prolimacodes triangulifera,1752827,,,,,57,,,Prolimacodes,Limacodidae,27,https://inaturalist-open-data.s3.amazonaws.com/photos/226980782/original.jpg
,1752892,,,,,#N/A,,,,,9,https://inaturalist-open-data.s3.amazonaws.com/photos/288074299/original.jpeg
Epiperola vafera,1753035,,,,,59,,,Epiperola,Limacodidae,14,https://inaturalist-open-data.s3.amazonaws.com/photos/217832526/original.jpeg
,1753043,,,,,#N/A,,,,,17,https://inaturalist-open-data.s3.amazonaws.com/photos/119807166/original.jpeg
,1753046,,,,,#N/A,,,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/280238584/original.jpeg
,1753049,,,,,#N/A,,,,,37,https://inaturalist-open-data.s3.amazonaws.com/photos/97364698/original.jpeg
,1753050,,,,,#N/A,,,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/186731312/original.jpg
,1753538,,,,,#N/A,,,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/261371186/original.jpg
,1753544,,,,,#N/A,,,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/143911158/original.jpg
Semyra bella,1753603,,,,,66,,,Semyra,Limacodidae,38,https://inaturalist-open-data.s3.amazonaws.com/photos/240222451/original.jpeg
,1753604,,,,,#N/A,,,,,36,https://inaturalist-open-data.s3.amazonaws.com/photos/65614395/original.jpeg
Semyra irena,1753612,,,,,68,,,Semyra,Limacodidae,26,https://inaturalist-open-data.s3.amazonaws.com/photos/253102694/original.jpg
Natada lucens,1753661,,,,,69,,,Natada,Limacodidae,39,https://inaturalist-open-data.s3.amazonaws.com/photos/132201053/original.jpg
,1753674,,,,,#N/A,,,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/240223163/original.jpg
,1753688,,,,,#N/A,,,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/314427819/original.jpeg
,1753697,,,,,#N/A,,,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/171821649/original.jpeg
,1753707,,,,,#N/A,,,,,9,https://inaturalist-open-data.s3.amazonaws.com/photos/25869527/original.jpg
Natada michorta,1753712,,,,,74,,,Natada,Limacodidae,25,https://inaturalist-open-data.s3.amazonaws.com/photos/119827410/original.jpeg
,1753817,,,,,#N/A,,,,,21,https://inaturalist-open-data.s3.amazonaws.com/photos/257370754/original.jpeg
Euphobetron cupreitincta,1753818,,,,,76,,,Euphobetron,Limacodidae,20,https://inaturalist-open-data.s3.amazonaws.com/photos/297261636/original.jpeg
,1753824,,,,,#N/A,,,,,24,https://inaturalist-open-data.s3.amazonaws.com/photos/9358433/original.jpeg
Sibine nesea,1753871,,,,,78,,,Sibine,Limacodidae,60,https://inaturalist-open-data.s3.amazonaws.com/photos/12276043/original.jpg
,1758269,,,,,#N/A,,,,,11,https://inaturalist-open-data.s3.amazonaws.com/photos/120039734/original.jpeg
,1758336,,,,,#N/A,,,,,50,https://inaturalist-open-data.s3.amazonaws.com/photos/383805685/original.jpeg
Dolichosomastis leucogrammica,1759866,,,,,81,,,Dolichosomastis,Erebidae,10,https://inaturalist-open-data.s3.amazonaws.com/photos/82224566/original.jpeg
,1759875,,,,,#N/A,,,,,31,https://inaturalist-open-data.s3.amazonaws.com/photos/251546419/original.jpg
,1760213,,,,,#N/A,,,,,4,http://www.boldsystems.org/pics/BLPAA/19-SRNP-104760-DHJ713919+1683647148.JPG
,1760288,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/81303837/original.jpeg
,1760293,,,,,#N/A,,,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/30681136/original.jpeg
,1760308,,,,,#N/A,,,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/168230182/original.jpg
,1760309,,,,,#N/A,,,,,29,http://www.boldsystems.org/pics/BLPAA/19-SRNP-101713-DHJ710872+1683644022.JPG
,1760317,,,,,#N/A,,,,,14,https://inaturalist-open-data.s3.amazonaws.com/photos/172941902/original.jpeg
,1760373,,,,,#N/A,,,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/89843709/original.jpg
,1761138,,,,,#N/A,,,,,28,https://inaturalist-open-data.s3.amazonaws.com/photos/225948391/original.jpeg
,1761143,,,,,#N/A,,,,,90,https://inaturalist-open-data.s3.amazonaws.com/photos/24572887/original.jpg
,1761204,,,,,#N/A,,,,,10,https://inaturalist-open-data.s3.amazonaws.com/photos/183972120/original.jpeg
,1761206,,,,,#N/A,,,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/231850368/original.jpeg
,1761271,,,,,#N/A,,,,,9,https://inaturalist-open-data.s3.amazonaws.com/photos/343077242/original.jpeg
,1761280,,,,,#N/A,,,,,11,https://inaturalist-open-data.s3.amazonaws.com/photos/322782520/original.jpeg
,1761286,,,,,#N/A,,,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/387669661/original.jpeg
,1761290,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/248690581/original.jpeg
,1761293,,,,,#N/A,,,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/7584286/original.jpg
,1761301,,,,,#N/A,,,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/387658735/original.jpeg
,1761305,,,,,#N/A,,,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/25042781/original.jpeg
Athyrma tuberosa,1761624,,,,,101,,,Athyrma,Erebidae,6,https://inaturalist-open-data.s3.amazonaws.com/photos/86185182/original.jpg
,1761679,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/359420009/original.jpeg
Euclystis guerini,1761694,,,,,103,,,Euclystis,Erebidae,37,https://inaturalist-open-data.s3.amazonaws.com/photos/220915127/original.jpeg
,1761808,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/333383762/original.jpg
,1761813,,,,,#N/A,,,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/310552029/original.jpeg
,1761839,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/238224912/original.jpg
